SYMBOL	X.1	day2_log2FoldChange	day2_lfcSE	day2_stat	day2_pvalue	day2_padj	day6_log2FoldChange	day6_lfcSE.	day6_stat	day6_pvalue	day6_padj
DNAJC25-GNG10	ENSG00000244115	1.24988365	0.279918129	4.465175785	8.00E-06	0.000256287	1.640392223	0.253026171	6.483093102	8.99E-11	9.33E-09
TWF1	ENSG00000151239	1.248499038	0.230255957	5.422222532	5.89E-08	4.33E-06	1.370722111	0.263474909	5.202476836	1.97E-07	8.25E-06
GNG10	ENSG00000242616	1.245116765	0.286008013	4.353433145	1.34E-05	0.000389797	1.537828088	0.318246076	4.832198113	1.35E-06	4.22E-05
TYMP	ENSG00000025708	1.243448418	0.445232776	2.792805211	0.005225315	0.032593725	1.43495946	0.371835304	3.859126456	0.000113793	0.001493747
ARHGAP5	ENSG00000100852	1.242379246	0.292962759	4.24074121	2.23E-05	0.000578575	0.955291463	0.311548193	3.066271877	0.002167461	0.01451191
APOL2	ENSG00000128335	1.240969891	0.318787787	3.892777396	9.91E-05	0.001845192	0.712970213	0.208373943	3.421590071	0.000622561	0.005570257
MCTP1	ENSG00000175471	1.240116742	0.235743479	5.260449826	1.44E-07	9.36E-06	1.656992061	0.268382656	6.173990839	6.66E-10	5.68E-08
DYNLL1	ENSG00000088986	1.239988147	0.19646646	6.311449526	2.76E-10	4.14E-08	0.955841452	0.226869268	4.213181722	2.52E-05	0.000450939
SGO1	ENSG00000129810	1.238742911	0.332588826	3.724547597	0.000195666	0.003054748	1.126732443	0.326627099	3.449598782	0.00056142	0.005165034
CLMP	ENSG00000166250	1.23869415	0.229922049	5.387452644	7.15E-08	5.11E-06	0.710785634	0.20262235	3.507933028	0.000451603	0.004368628
ARRDC3	ENSG00000113369	1.237113468	0.233739702	5.29269721	1.21E-07	7.99E-06	1.316010227	0.238477922	5.518373423	3.42E-08	1.84E-06
CYCS	ENSG00000172115	1.236276834	0.260929569	4.737971395	2.16E-06	8.83E-05	1.378515113	0.325106036	4.240201529	2.23E-05	0.000409649
CARD8-AS1	ENSG00000268001	1.235803195	0.327557184	3.772786116	0.000161435	0.002656189	2.0388942	0.384836093	5.298084657	1.17E-07	5.32E-06
ARNTL2	ENSG00000029153	1.235000087	0.376238331	3.282494064	0.001028932	0.010379103	1.679309868	0.343839819	4.883988931	1.04E-06	3.39E-05
SGPP1	ENSG00000126821	1.234057326	0.309801922	3.983375308	6.79E-05	0.001394019	1.690995168	0.339342626	4.983149889	6.26E-07	2.18E-05
MRPL32	ENSG00000106591	1.23369778	0.225958132	5.459851203	4.77E-08	3.66E-06	1.093420714	0.275054388	3.975289112	7.03E-05	0.001019126
PGGT1B	ENSG00000164219	1.232831278	0.351579905	3.506546474	0.000453962	0.005690339	0.865084666	0.327114933	2.644589339	0.008179011	0.038550311
GIMAP7	ENSG00000179144	1.231892231	0.366656254	3.359801496	0.000779985	0.008466079	1.286545546	0.383261388	3.356835792	0.000788399	0.006673686
CIDEA	ENSG00000176194	1.231255114	0.337557168	3.64754546	0.000264757	0.003841953	1.322217743	0.415053069	3.185659481	0.001444245	0.010614756
COMMD8	ENSG00000169019	1.231150772	0.238110698	5.170497509	2.33E-07	1.41E-05	1.644956497	0.279650131	5.882194616	4.05E-09	2.91E-07
KLF6	ENSG00000067082	1.228782004	0.298881916	4.111262469	3.94E-05	0.000911293	0.94372512	0.237356089	3.975988665	7.01E-05	0.00101808
RPS27	ENSG00000177954	1.228781951	0.285988339	4.296615567	1.73E-05	0.000479655	1.294914857	0.244758072	5.29059101	1.22E-07	5.53E-06
C1GALT1	ENSG00000106392	1.228407071	0.289739153	4.239699945	2.24E-05	0.000580156	1.419406929	0.304953655	4.654500471	3.25E-06	8.81E-05
CREM	ENSG00000095794	1.227673685	0.216459728	5.671603201	1.41E-08	1.32E-06	1.473470492	0.26393486	5.582705105	2.37E-08	1.32E-06
CACNA2D1	ENSG00000153956	1.227127614	0.323692166	3.791032792	0.000150022	0.002525001	1.009799409	0.308229295	3.276130545	0.001052399	0.008293902
ASF1A	ENSG00000111875	1.226502089	0.269820797	4.545617328	5.48E-06	0.000187399	1.211981644	0.304421137	3.981266402	6.85E-05	0.001000201
CLTRN	ENSG00000147003	1.225912119	0.410981636	2.982887824	0.002855426	0.021326669	1.344589238	0.42005913	3.2009523	0.001369742	0.010192242
ATP5MD	ENSG00000173915	1.225041719	0.262250749	4.671261087	2.99E-06	0.000116338	1.209668191	0.28924202	4.182200737	2.89E-05	0.000503556
LRIF1	ENSG00000121931	1.223531786	0.274438335	4.458312228	8.26E-06	0.000262153	1.267747403	0.253908418	4.992931755	5.95E-07	2.09E-05
HOMER1	ENSG00000152413	1.222558309	0.347039696	3.52281979	0.000426982	0.00544041	0.749907446	0.257085241	2.916960314	0.003534607	0.020608282
GCA	ENSG00000115271	1.221796205	0.308166843	3.964723115	7.35E-05	0.001479418	1.23730288	0.253417696	4.882464403	1.05E-06	3.41E-05
COQ2	ENSG00000173085	1.221090264	0.289001051	4.225210457	2.39E-05	0.000611193	1.279879714	0.255881355	5.001848271	5.68E-07	2.02E-05
SSB	ENSG00000138385	1.220740788	0.277487519	4.399263757	1.09E-05	0.000328944	0.910472772	0.280381939	3.247258992	0.001165223	0.009006046
ATF5	ENSG00000169136	1.219406489	0.333997156	3.650948718	0.000261273	0.003808305	1.067960284	0.255539388	4.179239422	2.92E-05	0.000508599
TNFAIP8	ENSG00000145779	1.218770774	0.344074306	3.54217317	0.000396845	0.005167925	1.800953041	0.390265076	4.614691783	3.94E-06	0.000103714
SKIL	ENSG00000136603	1.21715832	0.288112191	4.224598464	2.39E-05	0.00061228	1.301708648	0.307175839	4.23766613	2.26E-05	0.000413257
SPC25	ENSG00000152253	1.216774797	0.248640085	4.893719365	9.89E-07	4.83E-05	1.606673806	0.366203517	4.387379507	1.15E-05	0.000243597
CISD2	ENSG00000145354	1.216400174	0.219866312	5.532453622	3.16E-08	2.61E-06	1.468908941	0.284142164	5.169626777	2.35E-07	9.52E-06
MOB4	ENSG00000115540	1.216360838	0.281719039	4.317638029	1.58E-05	0.000444983	1.162740561	0.327846844	3.546596783	0.000390241	0.003914797
C12orf29	ENSG00000133641	1.215915297	0.264313108	4.60028375	4.22E-06	0.000152464	1.318952177	0.297853088	4.42819709	9.50E-06	0.000208595
LYPD1	ENSG00000150551	1.215040857	0.298116949	4.075718807	4.59E-05	0.001027308	0.821404217	0.292033636	2.812704143	0.004912683	0.026293574
SNRPD1	ENSG00000167088	1.21415675	0.248788177	4.880283152	1.06E-06	5.06E-05	0.85876614	0.299196541	2.87024087	0.004101592	0.022938684
CEP57L1	ENSG00000183137	1.212891694	0.234049354	5.182204841	2.19E-07	1.34E-05	0.916564001	0.269060157	3.406539304	0.000657921	0.005818024
ZNF593	ENSG00000142684	1.209814669	0.290607261	4.163057257	3.14E-05	0.00075887	1.054397522	0.3282595	3.212085321	0.001317752	0.009922156
PRELID1	ENSG00000169230	1.209722395	0.219714336	5.505887397	3.67E-08	2.94E-06	1.175476128	0.312296849	3.763970504	0.000167237	0.002017297
MRPS18A	ENSG00000096080	1.209517989	0.193496599	6.250848815	4.08E-10	5.81E-08	1.208824165	0.271942286	4.445149676	8.78E-06	0.000195235
TTC33	ENSG00000113638	1.208649491	0.240876644	5.01771144	5.23E-07	2.79E-05	1.409460332	0.252368858	5.584921787	2.34E-08	1.31E-06
HSPA8	ENSG00000109971	1.207046333	0.222951817	5.413933605	6.17E-08	4.48E-06	1.382556703	0.256716193	5.385545371	7.22E-08	3.50E-06
CACNB4	ENSG00000182389	1.203400344	0.322804088	3.727958814	0.000193037	0.003025879	1.040734911	0.274068302	3.797356004	0.000146248	0.001828616
CXCL16	ENSG00000161921	1.202664344	0.381781035	3.150141663	0.001631913	0.01437915	0.841804397	0.221996441	3.791972483	0.000149455	0.001856964
MCTS1	ENSG00000232119	1.202309334	0.234938756	5.117543619	3.10E-07	1.79E-05	1.410784295	0.296698728	4.754938798	1.99E-06	5.83E-05
MRPL22	ENSG00000082515	1.201805073	0.194917506	6.165711327	7.02E-10	9.25E-08	1.117966013	0.297244289	3.761101738	0.000169167	0.002036261
COX17	ENSG00000138495	1.201517921	0.330415834	3.63638118	0.000276495	0.00394692	0.867377279	0.285582962	3.037216477	0.002387739	0.015493078
SCARNA17	ENSG00000267322	1.200819628	0.420553953	2.855328358	0.004299235	0.02841575	1.03622536	0.407145481	2.545098514	0.010924691	0.047765621
SNHG22	ENSG00000267322	1.200819628	0.420553953	2.855328358	0.004299235	0.02841575	1.03622536	0.407145481	2.545098514	0.010924691	0.047765621
LSM3	ENSG00000170860	1.200143887	0.247058308	4.857735399	1.19E-06	5.48E-05	1.03006709	0.300279781	3.430357802	0.000602786	0.005453343
MAGOHB	ENSG00000111196	1.199805785	0.213270648	5.625742674	1.85E-08	1.66E-06	0.852009811	0.274204311	3.107207935	0.001888635	0.013046771
ELOVL2	ENSG00000197977	1.195821981	0.273295721	4.375560564	1.21E-05	0.00035959	1.188603959	0.346655178	3.428778893	0.000606303	0.005473946
TMIGD3	ENSG00000121933	1.195293703	0.292542345	4.08588269	4.39E-05	0.000993175	2.042526826	0.299916723	6.810313221	9.74E-12	1.31E-09
SNHG6	ENSG00000245910	1.194855954	0.299097646	3.994869136	6.47E-05	0.001343308	1.121016169	0.251912552	4.450021095	8.59E-06	0.000191232
NME1-NME2	ENSG00000011052	1.194246611	0.219021665	5.452641449	4.96E-08	3.79E-06	1.063252036	0.337562643	3.149791775	0.001633869	0.011681942
ITM2B	ENSG00000136156	1.193864512	0.272112997	4.38738511	1.15E-05	0.000344355	1.110461292	0.274548623	4.044679882	5.24E-05	0.000816295
PFDN6	ENSG00000204220	1.193579601	0.197404005	6.046379863	1.48E-09	1.79E-07	0.927909476	0.312467222	2.969621803	0.002981666	0.018166134
SERPING1	ENSG00000149131	1.193123949	0.403021196	2.960449626	0.003071904	0.022446437	0.807783937	0.192580951	4.194516285	2.73E-05	0.000482509
CDK17	ENSG00000059758	1.191609058	0.26207405	4.546841094	5.45E-06	0.000186751	1.24090101	0.256577905	4.836351793	1.32E-06	4.15E-05
GJA1	ENSG00000152661	1.191273599	0.312156187	3.816274192	0.000135482	0.002338226	1.215052147	0.296038489	4.104372214	4.05E-05	0.000662934
PPIB	ENSG00000166794	1.188908667	0.206323168	5.762361446	8.29E-09	8.19E-07	1.033577149	0.273720843	3.776026468	0.00015935	0.001943798
MRPL54	ENSG00000183617	1.1882572	0.378685969	3.137843217	0.001701959	0.01482718	1.333089195	0.310076201	4.299230932	1.71E-05	0.000331173
SLC41A2	ENSG00000136052	1.188203909	0.344231008	3.451763151	0.000556936	0.006575312	1.667998195	0.26209045	6.364208215	1.96E-10	1.91E-08
EMC7	ENSG00000134153	1.18743116	0.210630636	5.637504498	1.73E-08	1.57E-06	1.346082147	0.284482573	4.731685786	2.23E-06	6.43E-05
SNRNP27	ENSG00000124380	1.182404478	0.362339592	3.26324946	0.001101425	0.010915803	0.79405676	0.298792326	2.657554064	0.007870996	0.037488935
KBTBD8	ENSG00000163376	1.179039013	0.331497364	3.556707053	0.000375533	0.004968992	1.961584631	0.341073451	5.751208791	8.86E-09	5.76E-07
CAPG	ENSG00000042493	1.178236346	0.34696174	3.395868222	0.000684113	0.007670071	2.127979967	0.329927841	6.449834479	1.12E-10	1.14E-08
BARD1	ENSG00000138376	1.176884515	0.23152507	5.083183926	3.71E-07	2.07E-05	0.91119375	0.240539764	3.788121072	0.000151791	0.001873679
SEC24A	ENSG00000113615	1.175119029	0.239249062	4.911697549	9.03E-07	4.50E-05	1.398925446	0.27551488	5.07749508	3.82E-07	1.43E-05
MED13	ENSG00000108510	1.174547208	0.256953365	4.571052054	4.85E-06	0.000170319	1.160230495	0.262708927	4.416410613	1.00E-05	0.000217962
MYL12A	ENSG00000101608	1.174090728	0.244928561	4.793604811	1.64E-06	7.10E-05	1.027245624	0.34184782	3.004979302	0.002655989	0.016751351
XRCC4	ENSG00000152422	1.173432097	0.274694707	4.271768135	1.94E-05	0.000521077	1.331333264	0.271159181	4.909784952	9.12E-07	3.03E-05
TMEM123	ENSG00000152558	1.171350954	0.28254345	4.145737428	3.39E-05	0.000808557	1.571012079	0.315965432	4.972101116	6.62E-07	2.29E-05
SLC30A1	ENSG00000170385	1.170906237	0.271331703	4.315405188	1.59E-05	0.000447535	1.628948018	0.292816466	5.563034212	2.65E-08	1.47E-06
UHMK1	ENSG00000152332	1.170374967	0.306678458	3.816293376	0.000135471	0.002338226	1.326089672	0.337851944	3.925061535	8.67E-05	0.001207118
GPC5	ENSG00000179399	1.170183505	0.33259924	3.518298796	0.000434323	0.005510689	1.001947898	0.389105559	2.575002785	0.010023928	0.044826061
EGFL6	ENSG00000198759	1.169871799	0.351072724	3.332277668	0.000861383	0.009087169	0.790200064	0.275834068	2.864766012	0.004173175	0.023236869
TRIM36	ENSG00000152503	1.169279548	0.316806897	3.690827319	0.000223526	0.003367698	1.146888971	0.339232709	3.380832507	0.000722666	0.006249903
SMIM15	ENSG00000188725	1.169005989	0.23862713	4.898881317	9.64E-07	4.74E-05	1.253131311	0.273678687	4.578841439	4.68E-06	0.000120255
UBALD2	ENSG00000185262	1.167978747	0.255969545	4.562959812	5.04E-06	0.000175337	1.213175942	0.286114438	4.240177287	2.23E-05	0.000409649
ZNF654	ENSG00000175105	1.167499447	0.250868465	4.653831027	3.26E-06	0.00012379	1.487849538	0.2867147	5.189303299	2.11E-07	8.67E-06
CD52	ENSG00000169442	1.167171712	0.42223725	2.764255668	0.005705282	0.034734195	2.423423502	0.829208996	2.922572614	0.003471527	0.020330464
MCL1	ENSG00000143384	1.166051746	0.30342973	3.842905394	0.000121586	0.002168676	1.296925066	0.245294039	5.287226186	1.24E-07	5.61E-06
SMIM14	ENSG00000163683	1.166034474	0.279902504	4.165859384	3.10E-05	0.000752329	0.681894189	0.220932014	3.086443546	0.002025664	0.013763632
SNRPE	ENSG00000182004	1.165107825	0.266511737	4.371694238	1.23E-05	0.00036522	1.04851644	0.282052783	3.717447603	0.000201246	0.00233712
NDUFB3	ENSG00000119013	1.164825041	0.227518655	5.119690259	3.06E-07	1.78E-05	1.077672579	0.305509816	3.527456477	0.000419573	0.004128973
GADD45B	ENSG00000099860	1.1648133	0.28963665	4.021636418	5.78E-05	0.00122945	0.805480932	0.278988714	2.887145225	0.003887547	0.022083443
BOLA2B	ENSG00000169627	1.164462099	0.236059795	4.932911591	8.10E-07	4.08E-05	1.309505777	0.351188344	3.728784848	0.000192405	0.002252845
CREBRF	ENSG00000164463	1.164206783	0.304761336	3.820060631	0.000133419	0.002317343	1.040540148	0.279627109	3.721170498	0.000198301	0.002311182
C1GALT1C1	ENSG00000171155	1.162470597	0.26084413	4.456571805	8.33E-06	0.000263674	1.130373241	0.280391336	4.031412872	5.54E-05	0.000848113
ZNF148	ENSG00000163848	1.162149919	0.306623192	3.790156611	0.000150552	0.002532355	0.952513574	0.290811428	3.275365006	0.001055255	0.008305575
EMP3	ENSG00000142227	1.162064554	0.331624662	3.504156011	0.000458057	0.005728875	1.555023214	0.338344244	4.595979514	4.31E-06	0.000112047
C1D	ENSG00000197223	1.161286894	0.223238247	5.202006875	1.97E-07	1.23E-05	1.273312911	0.271319435	4.693039815	2.69E-06	7.56E-05
EVI2A	ENSG00000126860	1.160748352	0.437123774	2.655422607	0.007920911	0.044110607	2.532090037	0.427259088	5.926357345	3.10E-09	2.29E-07
NSMCE2	ENSG00000156831	1.160501916	0.268409187	4.323629635	1.53E-05	0.000438462	1.392822918	0.306020489	4.551404125	5.33E-06	0.000132134
LYSMD3	ENSG00000176018	1.160288249	0.29999153	3.867736696	0.00010985	0.00200543	1.739641457	0.332806782	5.227181507	1.72E-07	7.42E-06
C6orf62	ENSG00000112308	1.159907468	0.297255964	3.902049433	9.54E-05	0.001795595	1.153519902	0.226780358	5.086507105	3.65E-07	1.38E-05
CFH	ENSG00000000971	1.158955628	0.252983279	4.581155053	4.62E-06	0.000163988	0.782490992	0.217905633	3.590962656	0.000329459	0.003441552
RAB8B	ENSG00000166128	1.158650359	0.294705408	3.931554446	8.44E-05	0.001649411	1.389730958	0.331588659	4.191129343	2.78E-05	0.000488256
TNPO1	ENSG00000083312	1.156666843	0.259383773	4.459287605	8.22E-06	0.000261269	1.18171824	0.276778575	4.269543765	1.96E-05	0.000368773
IRF2	ENSG00000168310	1.15552493	0.32094582	3.600373822	0.00031776	0.004397326	1.084753728	0.259794598	4.175428339	2.97E-05	0.000515437
CENPH	ENSG00000153044	1.155475601	0.205711437	5.616973073	1.94E-08	1.73E-06	1.453018363	0.313647863	4.632642312	3.61E-06	9.66E-05
GAR1	ENSG00000109534	1.155015191	0.199137452	5.80009023	6.63E-09	6.74E-07	0.8393759	0.255068853	3.290781643	0.000999094	0.007979433
CENPW	ENSG00000203760	1.154490314	0.256643427	4.498421515	6.85E-06	0.000225967	1.203348114	0.317430973	3.790896971	0.000150104	0.001861947
PCLAF	ENSG00000166803	1.153545459	0.308494503	3.739273951	0.000184553	0.002921876	1.583143588	0.339339381	4.665369468	3.08E-06	8.46E-05
GADD45GIP1	ENSG00000179271	1.153329575	0.267314164	4.31450978	1.60E-05	0.000448889	0.776639651	0.26838063	2.893799195	0.003806115	0.021778478
C21orf91	ENSG00000154642	1.152270259	0.272617815	4.226687304	2.37E-05	0.00060777	1.359895582	0.29547545	4.602397864	4.18E-06	0.000109146
LIF	ENSG00000128342	1.150653018	0.408709266	2.815333818	0.004872659	0.030991754	1.881589702	0.469690968	4.006016365	6.18E-05	0.000921091
PPP4R2	ENSG00000163605	1.149933828	0.246244018	4.669895491	3.01E-06	0.000116946	1.168635163	0.274101478	4.263512805	2.01E-05	0.000376074
MAIP1	ENSG00000162972	1.148404599	0.31191577	3.681777931	0.000231613	0.00346654	1.434081442	0.262211371	5.46918098	4.52E-08	2.33E-06
HLA-C	ENSG00000204525	1.147124415	0.389743036	2.943283928	0.003247504	0.023338215	1.390079758	0.25845338	5.378454558	7.51E-08	3.61E-06
IRF9	ENSG00000213928	1.147031715	0.236426935	4.851527239	1.23E-06	5.60E-05	1.070991304	0.253914655	4.217918433	2.47E-05	0.000442966
AIDA	ENSG00000186063	1.143298839	0.267136561	4.279829134	1.87E-05	0.000509267	0.881266456	0.258250207	3.412452083	0.000643812	0.005719929
TMEM126B	ENSG00000171204	1.141574543	0.298991657	3.818081592	0.000134493	0.002327079	1.484399629	0.342310889	4.336407862	1.45E-05	0.000291479
TENM1	ENSG00000009694	1.140329177	0.322842704	3.532150994	0.000412194	0.005306753	1.347394916	0.422346396	3.19026024	0.001421447	0.010469068
SUB1	ENSG00000113387	1.139287528	0.282612482	4.031271086	5.55E-05	0.001191309	0.986797415	0.271269315	3.637703793	0.00027508	0.0029973
CHMP2B	ENSG00000083937	1.137228579	0.204461583	5.562064821	2.67E-08	2.23E-06	1.251924713	0.236930362	5.283935341	1.26E-07	5.69E-06
ZNF92	ENSG00000146757	1.137101935	0.292280211	3.890451331	0.000100058	0.001859148	1.219291002	0.342046172	3.564697116	0.000364277	0.003716568
CLIC4	ENSG00000169504	1.135596807	0.286511193	3.96353383	7.38E-05	0.001480677	1.015069833	0.317674861	3.195310544	0.001396805	0.010329456
RBM26	ENSG00000139746	1.13502564	0.313621009	3.619099506	0.00029563	0.004152424	0.741278215	0.269891954	2.746573965	0.006022131	0.030556339
TCEAL8	ENSG00000180964	1.134934201	0.288895801	3.928524399	8.55E-05	0.001665536	0.897718515	0.296013757	3.032691871	0.00242383	0.015669187
ANAPC10	ENSG00000164162	1.134332041	0.202879458	5.591162617	2.26E-08	1.97E-06	1.123950257	0.278798215	4.031411236	5.54E-05	0.000848113
ZFY	ENSG00000067646	1.133055265	0.202881464	5.584814128	2.34E-08	2.03E-06	1.275504827	0.239650344	5.322357598	1.02E-07	4.74E-06
MTF2	ENSG00000143033	1.131879701	0.298847675	3.787480362	0.000152183	0.002551879	0.701379518	0.254308775	2.757983947	0.005815905	0.029808971
XRN1	ENSG00000114127	1.131101421	0.321222521	3.521239475	0.000429535	0.005467809	1.094050431	0.270162111	4.049607209	5.13E-05	0.000802594
HSPE1	ENSG00000115541	1.129463649	0.231519768	4.878476068	1.07E-06	5.09E-05	0.719950735	0.256122881	2.810958285	0.004939419	0.026384971
PTP4A1	ENSG00000112245	1.128131379	0.230986363	4.883973952	1.04E-06	4.99E-05	1.248786148	0.212190845	5.885202766	3.98E-09	2.87E-07
COA4	ENSG00000181924	1.128029892	0.204118998	5.526334642	3.27E-08	2.66E-06	1.03323983	0.296619895	3.483380068	0.000495125	0.004707616
CAMSAP2	ENSG00000118200	1.126586372	0.255063587	4.416884372	1.00E-05	0.000308056	0.972940738	0.275204633	3.535335606	0.000407258	0.004051025
PTAR1	ENSG00000188647	1.12628036	0.255606643	4.406303159	1.05E-05	0.000321304	1.119785784	0.279769609	4.002528329	6.27E-05	0.000932337
TWSG1	ENSG00000128791	1.125974937	0.284991864	3.950902036	7.79E-05	0.001546046	1.070349589	0.259138517	4.130414898	3.62E-05	0.000606054
MSX1	ENSG00000163132	1.125689079	0.294155185	3.826854452	0.000129791	0.002270301	0.925085746	0.287127123	3.221868193	0.001273577	0.009653401
NAPA	ENSG00000105402	1.12522621	0.298022453	3.775642403	0.000159596	0.002635514	0.878499377	0.209152887	4.200273738	2.67E-05	0.000472232
CETN3	ENSG00000153140	1.124565553	0.299531704	3.754412431	0.000173749	0.002802145	0.669536755	0.25076847	2.669939945	0.007586481	0.036492707
PSMB10	ENSG00000205220	1.123508387	0.423837412	2.650800416	0.008030128	0.044554416	1.189524237	0.322407343	3.68950727	0.000224689	0.002541932
GLRX2	ENSG00000023572	1.123168811	0.250183199	4.489385442	7.14E-06	0.000232959	1.057095581	0.286495023	3.689751988	0.000224473	0.002541932
ZC3HAV1	ENSG00000105939	1.123016844	0.316073086	3.553029007	0.000380822	0.005019429	0.719293412	0.248471935	2.894867831	0.003793182	0.021737263
MED21	ENSG00000152944	1.121921905	0.230585118	4.865543429	1.14E-06	5.33E-05	1.187771732	0.262675171	4.521827197	6.13E-06	0.000146163
B3GNT2	ENSG00000170340	1.121571905	0.295060033	3.801165114	0.000144017	0.002443616	1.138052172	0.308372487	3.69051138	0.000223804	0.002541269
TIMM8B	ENSG00000150779	1.121520208	0.303266145	3.698138509	0.000217186	0.003310132	0.997569003	0.265102254	3.76295934	0.000167915	0.00202333
ATP6V1F	ENSG00000128524	1.120258687	0.215839212	5.190246379	2.10E-07	1.31E-05	1.500007568	0.281480352	5.328995638	9.88E-08	4.60E-06
CIAO2A	ENSG00000166797	1.119207418	0.193751976	5.776495513	7.63E-09	7.65E-07	1.543411075	0.284741254	5.420398527	5.95E-08	2.96E-06
FKBP1B	ENSG00000119782	1.117954548	0.219055955	5.103511338	3.33E-07	1.89E-05	0.70332403	0.23127713	3.041044446	0.00235759	0.015376352
TRMT10C	ENSG00000174173	1.116665342	0.339102206	3.293005245	0.000991226	0.01008867	0.803299281	0.284087414	2.827648262	0.00468913	0.025340449
HLA-A	ENSG00000206503	1.114600193	0.357751965	3.115566931	0.001835917	0.01570247	1.417496202	0.310118717	4.570817968	4.86E-06	0.000123419
RGS16	ENSG00000143333	1.112629649	0.404150556	2.75300784	0.005905048	0.035662658	1.148349687	0.302840294	3.791931618	0.00014948	0.001856964
CDC73	ENSG00000134371	1.112284852	0.262449693	4.23808783	2.25E-05	0.000583684	1.237477786	0.299065378	4.13781694	3.51E-05	0.000589438
MIER3	ENSG00000155545	1.111665427	0.228877762	4.857026809	1.19E-06	5.49E-05	1.317432897	0.2540374	5.185980082	2.15E-07	8.81E-06
TOMM5	ENSG00000175768	1.111475608	0.200077075	5.555237187	2.77E-08	2.31E-06	1.023372006	0.269485772	3.797499215	0.000146163	0.001828616
STAT2	ENSG00000170581	1.110837183	0.320677217	3.464035251	0.000532137	0.006359655	0.760978022	0.203432947	3.740682285	0.000183521	0.00217229
HSPA13	ENSG00000155304	1.110108308	0.294917004	3.764138016	0.000167125	0.00271876	1.468555827	0.308208239	4.764816903	1.89E-06	5.61E-05
DNAJB14	ENSG00000164031	1.109356062	0.290606788	3.817378359	0.000134877	0.002330751	1.298313804	0.322496817	4.025818976	5.68E-05	0.000863881
TIMP1	ENSG00000102265	1.103703302	0.398540488	2.769363051	0.005616601	0.034340529	0.911632191	0.357789633	2.547955857	0.010835618	0.047448625
JUNB	ENSG00000171223	1.1036425	0.353157458	3.12507205	0.001777615	0.01530552	1.458506332	0.368775893	3.954993696	7.65E-05	0.001089511
KRT8	ENSG00000170421	1.103598484	0.340513383	3.240984174	0.001191178	0.011537299	0.956231793	0.30407084	3.144766505	0.001662194	0.011841899
DNAJB9	ENSG00000128590	1.102183645	0.260548106	4.23025008	2.33E-05	0.000599355	1.455180503	0.273647607	5.317716904	1.05E-07	4.82E-06
SPOCD1	ENSG00000134668	1.102093778	0.419665656	2.626123351	0.008636351	0.046930683	1.666708042	0.480002357	3.47229137	0.000516036	0.004843715
BTG3	ENSG00000154640	1.100940368	0.235922147	4.666540995	3.06E-06	0.000118532	1.066108749	0.226835865	4.699912649	2.60E-06	7.33E-05
MED31	ENSG00000108590	1.10080346	0.255826722	4.302926032	1.69E-05	0.000470108	1.13036769	0.298927055	3.781416478	0.000155939	0.001911447
AHR	ENSG00000106546	1.097936091	0.251911623	4.358417749	1.31E-05	0.000384733	1.313586487	0.240594208	5.459759396	4.77E-08	2.46E-06
PLEKHF2	ENSG00000175895	1.097182507	0.314101711	3.493080322	0.000477483	0.005916595	1.475861754	0.282467236	5.224895378	1.74E-07	7.49E-06
POLR3G	ENSG00000113356	1.096899861	0.350490008	3.129618071	0.001750337	0.015133855	1.305464503	0.404637392	3.226257703	0.001254204	0.009538318
OLFML3	ENSG00000116774	1.096554071	0.222353505	4.931579885	8.16E-07	4.10E-05	0.674031561	0.221855086	3.038161405	0.002380264	0.015471038
SGTB	ENSG00000197860	1.094698056	0.284092261	3.853318826	0.000116527	0.002096337	1.613774509	0.364695167	4.424995595	9.64E-06	0.000211055
CA2	ENSG00000104267	1.093188415	0.300553787	3.637247186	0.000275567	0.00394689	1.145760108	0.301049589	3.805884984	0.000141298	0.001782694
ANGPT2	ENSG00000091879	1.091239748	0.367112474	2.972494331	0.002953907	0.021799205	1.055396589	0.404588162	2.608570115	0.009092138	0.041733263
CYBA	ENSG00000051523	1.08978023	0.363121665	3.001143512	0.002689678	0.020397849	1.588830201	0.307117158	5.173368404	2.30E-07	9.38E-06
ELOVL4	ENSG00000118402	1.087686512	0.332169656	3.274490889	0.001058526	0.010587209	0.995546873	0.323632338	3.07616624	0.002096809	0.014128366
SUMO2	ENSG00000188612	1.087362433	0.220200737	4.938050826	7.89E-07	4.02E-05	1.093161269	0.266796052	4.097366737	4.18E-05	0.000678923
LOC112268124	ENSG00000258738	1.086056682	0.251445423	4.319254124	1.57E-05	0.000443933	1.047415845	0.284328376	3.683824532	0.00022976	0.002587732
SUCLG2	ENSG00000172340	1.085171463	0.24713125	4.391073418	1.13E-05	0.000338939	1.285844591	0.292142807	4.401424792	1.08E-05	0.000231369
PYGO1	ENSG00000171016	1.085021535	0.321977123	3.36987151	0.000752032	0.008240807	1.033403304	0.302487998	3.41634482	0.000634678	0.005652013
ANKRD49	ENSG00000168876	1.084782811	0.27453522	3.95134296	7.77E-05	0.001544328	1.022915236	0.312781501	3.270382778	0.00107402	0.00842414
NFKBIA	ENSG00000100906	1.084723396	0.38898925	2.78856908	0.005294146	0.032909305	0.938806849	0.24668008	3.80576676	0.000141366	0.001782694
DENND1B	ENSG00000213047	1.084638701	0.276778294	3.918799719	8.90E-05	0.001714497	1.429973961	0.292151045	4.894639205	9.85E-07	3.23E-05
