SYMBOL	Ensembl_IDs	log2FoldChange	lfcSE	stat	pvalue	padj
LAT2	ENSG00000086730	1.131988584	0.298353098	3.794123781	0.000148166	0.001847972
C1GALT1C1	ENSG00000171155	1.130373241	0.280391336	4.031412872	5.54E-05	0.000848113
MED31	ENSG00000108590	1.13036769	0.298927055	3.781416478	0.000155939	0.001911447
TMEM50A	ENSG00000183726	1.129594624	0.245333579	4.604321297	4.14E-06	0.000108267
CHROMR	ENSG00000223960	1.12948193	0.284209095	3.974123104	7.06E-05	0.001022828
WIPF1	ENSG00000115935	1.129403985	0.317625204	3.555775711	0.000376865	0.003812539
NOP10	ENSG00000182117	1.128856999	0.308149131	3.663346359	0.000248942	0.002762754
DCUN1D1	ENSG00000043093	1.127966913	0.282322265	3.995316891	6.46E-05	0.000952463
SGO1	ENSG00000129810	1.126732443	0.326627099	3.449598782	0.00056142	0.005165034
NOSIP	ENSG00000142546	1.126112183	0.310687766	3.624578451	0.000289433	0.003122312
PLEKHF1	ENSG00000166289	1.126062104	0.348892131	3.227536546	0.001248611	0.009514858
DIPK1A	ENSG00000154511	1.125959562	0.298567191	3.771209947	0.000162458	0.001972196
AOAH	ENSG00000136250	1.125916002	0.374430593	3.007008566	0.002638323	0.016676899
EXO1	ENSG00000174371	1.125697896	0.354350467	3.176792477	0.001489136	0.010864007
FAS	ENSG00000026103	1.125600211	0.285093197	3.948183341	7.87E-05	0.001115007
PIK3CG	ENSG00000105851	1.124915856	0.3429697	3.279927808	0.001038337	0.008214728
MT2A	ENSG00000125148	1.124112995	0.332079865	3.385068215	0.000711606	0.006179919
ANAPC10	ENSG00000164162	1.123950257	0.278798215	4.031411236	5.54E-05	0.000848113
SNX6	ENSG00000129515	1.123936987	0.260160184	4.320172937	1.56E-05	0.000308241
BANK1	ENSG00000153064	1.12340902	0.270888965	4.147119907	3.37E-05	0.000570208
TIGAR	ENSG00000078237	1.121886824	0.256997231	4.36536542	1.27E-05	0.00026301
TMEM121B	ENSG00000183307	1.121269031	0.391879163	2.861262192	0.004219579	0.023425869
BIN2	ENSG00000110934	1.121187564	0.352691446	3.178947424	0.001478109	0.01081476
SNHG6	ENSG00000245910	1.121016169	0.251912552	4.450021095	8.59E-06	0.000191232
ACTR2	ENSG00000138071	1.121013805	0.302951779	3.700304408	0.000215341	0.002460638
ACOT7	ENSG00000097021	1.120321515	0.34095124	3.285870185	0.001016679	0.008083003
PTAR1	ENSG00000188647	1.119785784	0.279769609	4.002528329	6.27E-05	0.000932337
GABPA	ENSG00000154727	1.11945063	0.30138641	3.714336782	0.000203737	0.002361237
PANX1	ENSG00000110218	1.118958613	0.25075212	4.462409376	8.10E-06	0.000182103
ID2	ENSG00000115738	1.118806574	0.221323085	5.055083039	4.30E-07	1.58E-05
KMO	ENSG00000117009	1.11831524	0.394382241	2.83561257	0.004573789	0.02488008
MRPL22	ENSG00000082515	1.117966013	0.297244289	3.761101738	0.000169167	0.002036261
SNX16	ENSG00000104497	1.117923697	0.31077781	3.597179912	0.000321686	0.003378965
TMEM62	ENSG00000137842	1.117920678	0.258360282	4.326983504	1.51E-05	0.000300771
NA	ENSG00000218175	1.117770306	0.394054908	2.836585169	0.004559881	0.024824688
NRIP1	ENSG00000180530	1.117593092	0.264160119	4.230741167	2.33E-05	0.000423465
NFU1	ENSG00000169599	1.117136022	0.286032182	3.905630535	9.40E-05	0.001288925
NUB1	ENSG00000013374	1.117076695	0.265060826	4.214416416	2.50E-05	0.000448832
OCIAD2	ENSG00000145247	1.11536557	0.308077869	3.620401472	0.000294146	0.003159678
DEPP1	ENSG00000165507	1.114695814	0.256814928	4.340463464	1.42E-05	0.000286657
SPRED1	ENSG00000166068	1.114139719	0.273729711	4.070218444	4.70E-05	0.000747107
RNF181	ENSG00000168894	1.113770112	0.298586295	3.730144788	0.00019137	0.00224534
ITGB6	ENSG00000115221	1.11352057	0.253201179	4.397770091	1.09E-05	0.000234633
EVI2B	ENSG00000185862	1.111952403	0.424552444	2.619116718	0.008815778	0.040753484
CBFB	ENSG00000067955	1.111720768	0.254168095	4.373958768	1.22E-05	0.000254795
PTGES	ENSG00000148344	1.110513884	0.367466883	3.022078821	0.002510452	0.016073953
ITM2B	ENSG00000136156	1.110461292	0.274548623	4.044679882	5.24E-05	0.000816295
SUPT4H1	ENSG00000213246	1.110123536	0.301350326	3.683830549	0.000229755	0.002587732
TPM3	ENSG00000143549	1.10999536	0.298368643	3.720214531	0.000199054	0.002315206
CDC25C	ENSG00000158402	1.109866299	0.304453398	3.645439026	0.000266936	0.002921997
GTPBP8	ENSG00000163607	1.109106334	0.292655557	3.789801034	0.000150768	0.001865098
TBC1D10C	ENSG00000175463	1.108995144	0.417401616	2.656901896	0.007886239	0.037528312
SHLD3	ENSG00000253251	1.108009137	0.282265798	3.925410534	8.66E-05	0.001206107
WDFY1	ENSG00000085449	1.107337039	0.268356088	4.126371973	3.69E-05	0.000614993
PLAUR	ENSG00000011422	1.107160463	0.317059364	3.491965828	0.00047948	0.004591232
PGF	ENSG00000119630	1.107066311	0.38090787	2.906388651	0.00365627	0.021149687
FGF2	ENSG00000138685	1.106738554	0.329670015	3.357110154	0.000787617	0.00667203
CTSB	ENSG00000164733	1.106706287	0.212002355	5.220254698	1.79E-07	7.62E-06
GFI1	ENSG00000162676	1.105041985	0.361620214	3.05580812	0.002244548	0.014864828
CAAP1	ENSG00000120159	1.104645381	0.245007441	4.508619721	6.53E-06	0.000153275
LYVE1	ENSG00000133800	1.103751234	0.252052306	4.379056284	1.19E-05	0.000249825
HLA-F	ENSG00000204642	1.103701509	0.312330682	3.533759479	0.000409694	0.00406692
CCL11	ENSG00000172156	1.103596941	0.341530478	3.231327837	0.001232165	0.009442929
DAPP1	ENSG00000070190	1.10288499	0.32456456	3.398045025	0.000678692	0.005953807
GEM	ENSG00000164949	1.102799184	0.241067406	4.574650719	4.77E-06	0.000121754
SERTAD1	ENSG00000197019	1.102070305	0.217537635	5.066113287	4.06E-07	1.50E-05
ITGAV	ENSG00000138448	1.101629754	0.274845345	4.008180499	6.12E-05	0.000915693
USP15	ENSG00000135655	1.101101113	0.31629661	3.481229576	0.000499117	0.004726699
GIMAP1-GIMAP5	ENSG00000281887	1.10106941	0.312569724	3.522636158	0.000427278	0.004188497
IGFLR1	ENSG00000126246	1.100937148	0.275258093	3.999654057	6.34E-05	0.000940046
NA	ENSG00000272463	1.100882385	0.341978558	3.219156173	0.001285684	0.009725739
NUDT12	ENSG00000112874	1.100069337	0.230518017	4.772162071	1.82E-06	5.44E-05
PDE4B	ENSG00000184588	1.099460642	0.240627351	4.569142447	4.90E-06	0.000124271
MTMR6	ENSG00000139505	1.099448603	0.279794409	3.929487397	8.51E-05	0.001189481
ACKR3	ENSG00000144476	1.099404015	0.241889235	4.545072108	5.49E-06	0.000134554
LNX2	ENSG00000139517	1.099309161	0.266164967	4.130179764	3.62E-05	0.000606228
MPZL2	ENSG00000149573	1.099197396	0.20055539	5.480767157	4.23E-08	2.19E-06
EIF1AY	ENSG00000198692	1.098946819	0.269361544	4.079820759	4.51E-05	0.000722969
CYTH4	ENSG00000100055	1.098901176	0.253277462	4.338724683	1.43E-05	0.000288678
VRK1	ENSG00000100749	1.098184926	0.347857817	3.156993668	0.001594048	0.011485825
CAPZA1	ENSG00000116489	1.098113986	0.284863082	3.854883475	0.000115785	0.001513687
CD84	ENSG00000066294	1.097286428	0.289685312	3.787856622	0.000151952	0.001874657
ITGB2	ENSG00000160255	1.097213022	0.317442635	3.456413535	0.000547415	0.005073394
CNP	ENSG00000173786	1.09668841	0.242550476	4.521485299	6.14E-06	0.000146186
LSM5	ENSG00000106355	1.096299087	0.265464126	4.129744778	3.63E-05	0.000606868
CCNB1	ENSG00000134057	1.095641405	0.279729274	3.916792078	8.97E-05	0.001240535
PRPS2	ENSG00000101911	1.095554196	0.266847277	4.105547598	4.03E-05	0.000660521
PARP10	ENSG00000178685	1.094678793	0.256335522	4.270491982	1.95E-05	0.000367817
XRN1	ENSG00000114127	1.094050431	0.270162111	4.049607209	5.13E-05	0.000802594
CD180	ENSG00000134061	1.093921517	0.309660965	3.532642606	0.000411428	0.004074431
IL34	ENSG00000157368	1.093488281	0.420988258	2.597431784	0.009392377	0.04280923
MRPL32	ENSG00000106591	1.093420714	0.275054388	3.975289112	7.03E-05	0.001019126
SUMO2	ENSG00000188612	1.093161269	0.266796052	4.097366737	4.18E-05	0.000678923
CEACAM1	ENSG00000079385	1.093014956	0.316364309	3.454924989	0.000550446	0.00509676
MYO1G	ENSG00000136286	1.09301434	0.338363349	3.230297673	0.001236614	0.009461448
NA	ENSG00000280614	1.092764761	0.272798534	4.005757455	6.18E-05	0.000921497
TXNDC17	ENSG00000129235	1.09174219	0.294167567	3.711293534	0.000206203	0.002384954
NUDT1	ENSG00000106268	1.091580103	0.268213432	4.069818929	4.70E-05	0.000747435
FPGT	ENSG00000254685	1.091568995	0.280066296	3.897537871	9.72E-05	0.001318183
NA	ENSG00000198618	1.09120413	0.415590379	2.62567226	0.008647804	0.04021273
APRT	ENSG00000198931	1.091041261	0.270466671	4.033921279	5.49E-05	0.000843065
MBNL1	ENSG00000152601	1.090822957	0.280930609	3.882891083	0.000103222	0.001378835
DCUN1D5	ENSG00000137692	1.090051184	0.270645201	4.027602114	5.63E-05	0.000859656
NA	ENSG00000280800	1.088613176	0.262869846	4.141263042	3.45E-05	0.000583232
TRMT1L	ENSG00000121486	1.087648443	0.226978098	4.791865166	1.65E-06	4.98E-05
LUZP2	ENSG00000187398	1.087615943	0.422642344	2.573371924	0.010071291	0.044958372
ARL5A	ENSG00000162980	1.086315399	0.314849591	3.450267772	0.000560031	0.005160899
SDHAF3	ENSG00000196636	1.086162464	0.258028329	4.209469823	2.56E-05	0.000456973
TMTC3	ENSG00000139324	1.086059178	0.251291826	4.321904115	1.55E-05	0.000306976
VPS29	ENSG00000111237	1.086010342	0.274626457	3.95450006	7.67E-05	0.00109108
TUBA1C	ENSG00000167553	1.0857615	0.263646851	4.118241867	3.82E-05	0.000631078
IRF2	ENSG00000168310	1.084753728	0.259794598	4.175428339	2.97E-05	0.000515437
IL15RA	ENSG00000134470	1.084672979	0.278465554	3.895178286	9.81E-05	0.001328506
TOR1B	ENSG00000136816	1.084242494	0.234294309	4.627694529	3.70E-06	9.86E-05
GSTO1	ENSG00000148834	1.084198597	0.327282877	3.312726312	0.000923913	0.007540379
TMEM251	ENSG00000153485	1.084151545	0.239045494	4.535335628	5.75E-06	0.000139413
ATP10A	ENSG00000206190	1.083936363	0.218975699	4.950030375	7.42E-07	2.54E-05
PTPN7	ENSG00000143851	1.08361582	0.364877789	2.969804832	0.00297989	0.018161356
KIF18A	ENSG00000121621	1.083511436	0.301835099	3.589746315	0.000331	0.003450996
PPP1CB	ENSG00000213639	1.083379345	0.273597184	3.959760583	7.50E-05	0.001073361
TMEM9B	ENSG00000175348	1.083283958	0.238182891	4.548118277	5.41E-06	0.000133051
SCYL2	ENSG00000136021	1.08315803	0.222493757	4.868262579	1.13E-06	3.62E-05
UNC13C	ENSG00000137766	1.082605452	0.33151661	3.265614513	0.001092268	0.00854078
PRKCQ	ENSG00000065675	1.082532992	0.344352121	3.143680343	0.001668376	0.011875145
H3-3A	ENSG00000163041	1.081940854	0.235264601	4.598825539	4.25E-06	0.00011078
VNN2	ENSG00000112303	1.081450084	0.405513295	2.666867144	0.007656193	0.036755305
PPP1R2	ENSG00000184203	1.080243086	0.237437097	4.549596914	5.37E-06	0.00013298
PLN	ENSG00000198523	1.080037146	0.281577748	3.835662272	0.000125226	0.001613131
LCOR	ENSG00000196233	1.08001794	0.251498622	4.294329456	1.75E-05	0.000337714
PNO1	ENSG00000115946	1.079822926	0.268949161	4.014970414	5.95E-05	0.000897397
HKDC1	ENSG00000156510	1.079127313	0.360973782	2.989489451	0.002794441	0.01737898
SLC25A19	ENSG00000125454	1.078723325	0.277087025	3.893084943	9.90E-05	0.001332304
ZNF680	ENSG00000173041	1.07779147	0.260705644	4.134131713	3.56E-05	0.00059853
NDUFB3	ENSG00000119013	1.077672579	0.305509816	3.527456477	0.000419573	0.004128973
ACOT13	ENSG00000112304	1.07740382	0.238422064	4.518893107	6.22E-06	0.000147086
EMC6	ENSG00000127774	1.077386843	0.262626739	4.102350149	4.09E-05	0.000667318
PTTG1	ENSG00000164611	1.076959398	0.359321219	2.997205119	0.002724673	0.017056697
CLDN23	ENSG00000253958	1.076869588	0.223476612	4.818712695	1.44E-06	4.46E-05
MAT2B	ENSG00000038274	1.074378855	0.27190435	3.951311761	7.77E-05	0.001102964
MARS2	ENSG00000247626	1.074351906	0.236990195	4.533317962	5.81E-06	0.000140453
SLAMF7	ENSG00000026751	1.074131066	0.389686173	2.756400254	0.005844143	0.029906563
C1orf162	ENSG00000143110	1.073828522	0.370770635	2.896207039	0.003777031	0.021655613
PYURF	ENSG00000145337	1.073388028	0.221990539	4.835287267	1.33E-06	4.17E-05
RAB5C	ENSG00000108774	1.07280121	0.230547063	4.653285081	3.27E-06	8.85E-05
FAM76B	ENSG00000077458	1.072260684	0.244106477	4.392594162	1.12E-05	0.000238939
UNC93B1	ENSG00000110057	1.072006913	0.369866636	2.898360672	0.003751189	0.021556317
PDCD10	ENSG00000114209	1.07162312	0.289552385	3.700964583	0.000214781	0.002455884
IRF9	ENSG00000213928	1.070991304	0.253914655	4.217918433	2.47E-05	0.000442966
TWSG1	ENSG00000128791	1.070349589	0.259138517	4.130414898	3.62E-05	0.000606054
ARHGAP25	ENSG00000163219	1.070132376	0.299513145	3.572906207	0.000353041	0.003624684
YTHDF3	ENSG00000185728	1.070110229	0.249270142	4.292973957	1.76E-05	0.000339496
LMNB1	ENSG00000113368	1.069767411	0.266701306	4.011106762	6.04E-05	0.000907399
RO60	ENSG00000116747	1.06968887	0.338984333	3.155570227	0.001601847	0.011525161
TXNRD1	ENSG00000198431	1.068186152	0.203249687	5.255536528	1.48E-07	6.42E-06
FCMR	ENSG00000162894	1.068092629	0.395610071	2.699862079	0.006936823	0.034021969
GCNT1	ENSG00000187210	1.068090956	0.236601592	4.514301638	6.35E-06	0.000149842
NDUFA7	ENSG00000267855	1.068030971	0.307310943	3.475408196	0.000510077	0.004799654
ATF5	ENSG00000169136	1.067960284	0.255539388	4.179239422	2.92E-05	0.000508599
MAD2L1BP	ENSG00000124688	1.067640431	0.234345978	4.555829972	5.22E-06	0.000130778
NDUFAF2	ENSG00000164182	1.066354852	0.312100781	3.416700359	0.00063385	0.005646847
BTG3	ENSG00000154640	1.066108749	0.226835865	4.699912649	2.60E-06	7.33E-05
CCNE1	ENSG00000105173	1.065475067	0.378956073	2.811605729	0.004929489	0.026339207
TRAPPC2B	ENSG00000256060	1.065365304	0.297830222	3.577089316	0.000347441	0.00358011
FAM126B	ENSG00000155744	1.065215067	0.29270142	3.639254862	0.000273428	0.002982161
NA	ENSG00000214110	1.064586556	0.377551305	2.819713613	0.004806653	0.025846687
SLC4A7	ENSG00000033867	1.064372797	0.245704551	4.331921385	1.48E-05	0.000296011
CENPN	ENSG00000166451	1.064088896	0.291587537	3.64929485	0.000262961	0.002892954
TXN	ENSG00000136810	1.064000702	0.320048273	3.324500686	0.00088577	0.007305036
CTSH	ENSG00000103811	1.063401724	0.191901406	5.541396201	3.00E-08	1.64E-06
NME1-NME2	ENSG00000011052	1.063252036	0.337562643	3.149791775	0.001633869	0.011681942
RRM2	ENSG00000171848	1.063093518	0.279274413	3.806626985	0.000140875	0.001778478
NA	ENSG00000267387	1.062850048	0.31852034	3.336835723	0.00084738	0.007042011
ANO5	ENSG00000171714	1.062802665	0.289271434	3.674067115	0.00023872	0.002672771
RAB3IL1	ENSG00000167994	1.060801714	0.21655239	4.898591572	9.65E-07	3.18E-05
NA	ENSG00000268439	1.060683183	0.380269301	2.7892948	0.005282296	0.02776163
GNG2	ENSG00000186469	1.060599172	0.310925607	3.411102679	0.000647007	0.00574159
COPS2	ENSG00000166200	1.060560426	0.295357387	3.590769941	0.000329703	0.003441889
PDE1B	ENSG00000123360	1.060445294	0.29990171	3.535976151	0.000406271	0.004043528
ENPP4	ENSG00000001561	1.060363494	0.212426287	4.99167738	5.99E-07	2.10E-05
MRPL58	ENSG00000167862	1.060179575	0.321957533	3.292917436	0.000991536	0.007924628
CFP	ENSG00000126759	1.05940911	0.385455961	2.748456935	0.00598765	0.030442459
RPS9	ENSG00000170889	1.059361409	0.251957479	4.204524555	2.62E-05	0.000465133
GLRX2	ENSG00000023572	1.057095581	0.286495023	3.689751988	0.000224473	0.002541932
TPMT	ENSG00000137364	1.056812198	0.265357091	3.982603953	6.82E-05	0.000995497
TAF4B	ENSG00000141384	1.056132851	0.320561725	3.294631789	0.000985507	0.007890297
CTH	ENSG00000116761	1.056036168	0.29889249	3.533163942	0.000410618	0.004074316
ELL2	ENSG00000118985	1.055825687	0.198422372	5.321102026	1.03E-07	4.76E-06
NA	ENSG00000281181	1.055417976	0.20046976	5.264724105	1.40E-07	6.18E-06
ANGPT2	ENSG00000091879	1.055396589	0.404588162	2.608570115	0.009092138	0.041733263
SKA1	ENSG00000154839	1.054493874	0.28866401	3.653014714	0.000259179	0.002855489
ZNF593	ENSG00000142684	1.054397522	0.3282595	3.212085321	0.001317752	0.009922156
COX6A1	ENSG00000111775	1.052255868	0.281156875	3.742593414	0.000182131	0.00216145
INTS6	ENSG00000102786	1.051876177	0.231547565	4.542808196	5.55E-06	0.000135862
SLCO4C1	ENSG00000173930	1.051722831	0.270841525	3.883166841	0.000103105	0.00137808
IFITM2	ENSG00000185201	1.051243509	0.293614818	3.580348966	0.000343136	0.003545371
PLBD1	ENSG00000121316	1.050044941	0.274509727	3.825164791	0.000130685	0.001667401
NA	ENSG00000206341	1.049643226	0.288634564	3.636581877	0.00027628	0.003006188
ELOVL5	ENSG00000012660	1.048934189	0.266194781	3.940476158	8.13E-05	0.001145425
TWF2	ENSG00000247596	1.048856906	0.278606234	3.764656992	0.000166778	0.00201283
SNRPE	ENSG00000182004	1.04851644	0.282052783	3.717447603	0.000201246	0.00233712
TMPO	ENSG00000120802	1.048290326	0.264832275	3.958317867	7.55E-05	0.001079124
RPE	ENSG00000197713	1.048281218	0.256707735	4.083559139	4.44E-05	0.000713947
P2RY14	ENSG00000174944	1.047905869	0.352420341	2.973454553	0.00294468	0.018027652
SLC36A4	ENSG00000180773	1.047599328	0.231599867	4.523315755	6.09E-06	0.000145655
ACTR6	ENSG00000075089	1.047501218	0.254871588	4.109917571	3.96E-05	0.000650324
SIRPB1	ENSG00000101307	1.047483771	0.405827194	2.581107885	0.00984838	0.044275889
LOC112268124	ENSG00000258738	1.047415845	0.284328376	3.683824532	0.00022976	0.002587732
TDP2	ENSG00000111802	1.047135029	0.258995988	4.043055024	5.28E-05	0.000820291
RBIS	ENSG00000176731	1.04689053	0.267044493	3.920285034	8.84E-05	0.001227542
RPL26L1	ENSG00000037241	1.046339864	0.294640342	3.5512444	0.000383414	0.003863335
IPO11	ENSG00000086200	1.04632785	0.227142938	4.606473176	4.10E-06	0.0001074
IPO11-LRRC70	ENSG00000086200	1.04632785	0.227142938	4.606473176	4.10E-06	0.0001074
MRPL18	ENSG00000112110	1.045095004	0.285420317	3.661599905	0.000250645	0.002775791
OSGIN2	ENSG00000164823	1.045020142	0.274661635	3.80475468	0.000141945	0.001785054
KIAA1586	ENSG00000168116	1.044995875	0.369351347	2.829273219	0.004665385	0.025240958
AP1AR	ENSG00000138660	1.044734488	0.25962957	4.023942597	5.72E-05	0.000869634
DR1	ENSG00000117505	1.044146685	0.249447441	4.185838425	2.84E-05	0.000498231
BRMS1	ENSG00000174744	1.044060417	0.292226495	3.572778081	0.000353214	0.003624824
PHF11	ENSG00000136147	1.042851981	0.283700683	3.675888155	0.000237023	0.002656389
IKZF5	ENSG00000095574	1.042783296	0.26753646	3.89772405	9.71E-05	0.001317956
PDK3	ENSG00000067992	1.040984607	0.301625529	3.45124834	0.000558	0.005146351
CACNB4	ENSG00000182389	1.040734911	0.274068302	3.797356004	0.000146248	0.001828616
COMMD10	ENSG00000145781	1.040710348	0.333880099	3.117018204	0.001826903	0.012732383
CREBRF	ENSG00000164463	1.040540148	0.279627109	3.721170498	0.000198301	0.002311182
RPL26	ENSG00000161970	1.04047341	0.243098532	4.280048096	1.87E-05	0.000355789
IL1RAP	ENSG00000196083	1.038386844	0.227402727	4.566290206	4.96E-06	0.000125553
RAB35	ENSG00000111737	1.038312769	0.242918476	4.274326045	1.92E-05	0.000363351
OTUD6B	ENSG00000155100	1.037810885	0.292351111	3.549878366	0.000385409	0.003880002
PDE12	ENSG00000174840	1.03760774	0.240255416	4.318769405	1.57E-05	0.000309212
RNASET2	ENSG00000026297	1.037092839	0.281969732	3.678028962	0.000235043	0.002639396
KNL1	ENSG00000137812	1.036856673	0.268258611	3.865138452	0.000111026	0.001463334
SCARNA17	ENSG00000267322	1.03622536	0.407145481	2.545098514	0.010924691	0.047765621
SNHG22	ENSG00000267322	1.03622536	0.407145481	2.545098514	0.010924691	0.047765621
RP2	ENSG00000102218	1.034687257	0.26169548	3.953783449	7.69E-05	0.001093671
LCORL	ENSG00000178177	1.034393085	0.323812396	3.194420899	0.001401117	0.010355021
TIMM23	ENSG00000265354	1.033624689	0.300865777	3.435501032	0.000591459	0.005376964
PPIB	ENSG00000166794	1.033577149	0.273720843	3.776026468	0.00015935	0.001943798
PYGO1	ENSG00000171016	1.033403304	0.302487998	3.41634482	0.000634678	0.005652013
COA4	ENSG00000181924	1.03323983	0.296619895	3.483380068	0.000495125	0.004707616
ARF6	ENSG00000165527	1.032293968	0.247281472	4.174570626	2.99E-05	0.000516773
SERPINA3	ENSG00000196136	1.032284334	0.370116435	2.789079967	0.005285801	0.02777364
IGFBP7	ENSG00000163453	1.032247871	0.273206406	3.778271108	0.000157921	0.001929466
N4BP2	ENSG00000078177	1.032103205	0.259310852	3.980177445	6.89E-05	0.00100415
CASP3	ENSG00000164305	1.032071749	0.241141895	4.27993546	1.87E-05	0.000355789
DCC	ENSG00000187323	1.03205746	0.281701274	3.663659192	0.000248638	0.002760726
BRF2	ENSG00000104221	1.031670122	0.209361428	4.927699103	8.32E-07	2.79E-05
TNFSF14	ENSG00000125735	1.031061456	0.341593521	3.018387041	0.002541241	0.016207266
LSM3	ENSG00000170860	1.03006709	0.300279781	3.430357802	0.000602786	0.005453343
SNRPB	ENSG00000125835	1.029092129	0.288688186	3.564718533	0.000364247	0.003716568
NA	ENSG00000258941	1.028662503	0.385053186	2.671481603	0.007551721	0.036363926
MARCKS	ENSG00000277443	1.028537364	0.229245743	4.486614882	7.24E-06	0.000166181
TM6SF1	ENSG00000136404	1.028243388	0.351559648	2.924804923	0.003446722	0.020251495
EIF4E3	ENSG00000163412	1.027950526	0.333767121	3.079843587	0.002071093	0.013984641
RPL12	ENSG00000197958	1.027602689	0.270192965	3.803217776	0.000142829	0.001793197
MYL12A	ENSG00000101608	1.027245624	0.34184782	3.004979302	0.002655989	0.016751351
TUBB3	ENSG00000258947	1.026993291	0.334369069	3.071436283	0.002130316	0.014308385
RAP2A	ENSG00000125249	1.026779771	0.321841174	3.190330679	0.001421101	0.010469068
SLC7A7	ENSG00000155465	1.025804229	0.247728174	4.140846041	3.46E-05	0.000583783
DEPTOR	ENSG00000155792	1.025776951	0.247280831	4.148226727	3.35E-05	0.000567881
NA	ENSG00000256664	1.02536527	0.301470563	3.401211906	0.000670878	0.005911934
NCAPH	ENSG00000121152	1.025199541	0.298385898	3.435817674	0.000590768	0.005376964
TSPAN33	ENSG00000158457	1.025093593	0.218209052	4.69775926	2.63E-06	7.40E-05
CCNYL1	ENSG00000163249	1.024868818	0.223906158	4.57722479	4.71E-06	0.000120778
AGAP2	ENSG00000135439	1.023801351	0.396437917	2.582501083	0.009808705	0.044176049
SULT1B1	ENSG00000173597	1.023723084	0.374287756	2.735123092	0.006235695	0.031298103
CD83	ENSG00000112149	1.023607832	0.273284555	3.745575129	0.000179981	0.002139283
TOMM5	ENSG00000175768	1.023372006	0.269485772	3.797499215	0.000146163	0.001828616
ANKRD49	ENSG00000168876	1.022915236	0.312781501	3.270382778	0.00107402	0.00842414
ARPC2	ENSG00000163466	1.022505564	0.263652542	3.878231391	0.000105219	0.001398941
GCLM	ENSG00000023909	1.022137885	0.224539422	4.552153358	5.31E-06	0.000131949
EIF2S1	ENSG00000134001	1.021755308	0.276072336	3.701041994	0.000214716	0.002455884
FAM207A	ENSG00000160256	1.02152634	0.305557447	3.343156413	0.000828312	0.006926538
SERPINB8	ENSG00000166401	1.021239988	0.339560407	3.007535531	0.002633753	0.016661894
KPNA5	ENSG00000196911	1.02119701	0.299757977	3.406738393	0.000657441	0.005817136
ADAR	ENSG00000160710	1.020651878	0.212810437	4.796061199	1.62E-06	4.89E-05
SGMS2	ENSG00000164023	1.020634739	0.311554985	3.275937759	0.001053118	0.008293902
ARL11	ENSG00000152213	1.020499644	0.31396021	3.250410757	0.001152384	0.008931076
ADAM12	ENSG00000148848	1.020301043	0.29269373	3.485899891	0.000490485	0.00467216
PIP4P2	ENSG00000155099	1.020220244	0.263827248	3.867001051	0.000110182	0.001453048
EIF5A2	ENSG00000163577	1.019973773	0.340462819	2.995844824	0.002736857	0.017114377
GLRX3	ENSG00000108010	1.019082334	0.30412263	3.350892809	0.000805515	0.006790788
AK6	ENSG00000085231	1.018180648	0.260763823	3.904608537	9.44E-05	0.001291782
SELENOT	ENSG00000198843	1.018105855	0.25368238	4.013309305	5.99E-05	0.000901944
ZNF681	ENSG00000196172	1.017879566	0.299422135	3.399480021	0.000675141	0.005935713
NA	ENSG00000240342	1.017680704	0.227801763	4.46739608	7.92E-06	0.000179272
AMD1	ENSG00000123505	1.017625617	0.230633216	4.412311618	1.02E-05	0.000221708
PSMA5	ENSG00000143106	1.016834999	0.304702304	3.337142469	0.000846445	0.007036812
UBBP4	ENSG00000263563	1.016530729	0.306328043	3.318438364	0.000905223	0.007415336
SOCS6	ENSG00000170677	1.016311308	0.260859539	3.896009746	9.78E-05	0.001325733
SOAT1	ENSG00000057252	1.01588841	0.209312312	4.853457504	1.21E-06	3.85E-05
PGK1	ENSG00000102144	1.015572742	0.296623745	3.423774253	0.000617579	0.005551869
TLCD1	ENSG00000160606	1.015398163	0.388516077	2.613529329	0.008961239	0.041282276
MED30	ENSG00000164758	1.015348456	0.228989326	4.434042732	9.25E-06	0.000203783
WASHC3	ENSG00000120860	1.015140138	0.27899234	3.638595019	0.000274129	0.002988379
CLIC4	ENSG00000169504	1.015069833	0.317674861	3.195310544	0.001396805	0.010329456
CD300E	ENSG00000186407	1.014024485	0.350948334	2.889383954	0.003859974	0.02198774
FAM72C	ENSG00000263513	1.013851546	0.359364564	2.821234051	0.004783929	0.0257601
FAM171B	ENSG00000144369	1.013726197	0.252661213	4.012195561	6.02E-05	0.000905071
GPSM3	ENSG00000213654	1.012950124	0.333961189	3.033137255	0.002420255	0.015654971
EID1	ENSG00000255302	1.012902538	0.26985888	3.753452679	0.000174415	0.002086203
SNX18	ENSG00000178996	1.011977463	0.261539258	3.869313814	0.000109142	0.001440169
IL16	ENSG00000172349	1.01185155	0.372848093	2.713843972	0.006650748	0.032881045
TENT4B	ENSG00000121274	1.011818475	0.245386121	4.123372876	3.73E-05	0.000620783
RPL36	ENSG00000130255	1.011778518	0.257895958	3.923204252	8.74E-05	0.001214979
UMAD1	ENSG00000219545	1.011385153	0.26678895	3.790955934	0.000150069	0.001861947
TBC1D23	ENSG00000036054	1.010275718	0.266405904	3.792242225	0.000149293	0.001856964
SLC16A10	ENSG00000112394	1.01022037	0.313178931	3.225697103	0.001256663	0.009550637
GLIPR2	ENSG00000122694	1.010142807	0.343346179	2.942053442	0.003260437	0.019467339
